PlayerId,MLBAMID,Name,Team,Name,Team,Throws,Age,G,IP,AVG,wOBA,WHIP,BABIP,ERA,xERA,FIP,xFIP,SIERA,HLD,SV,pLI,gmLI,Clutch,K/9,BB/9,K%,BB%,K-BB%,Soft%,Med%,HardHit%,Barrel%,CSW%,Stuff+,Location+,Pitching+,Fantasy,WAR,$,NameASCII,PlayerId,MLBAMID
26790,683409,Angel Chivilli,COL,Angel Chivilli,COL,R,21,30,31.2,0.2540983607,,1.294737024,0.275862069,4.54736906,4.84,5.313848501,3.920340745,3.726375191,7,1,1.035088062,1.165453315,-0.5420950495,7.957895855,2.842105663,0.21052632,0.07518797,0.13533835,0.13829787,0.4787234,0.46808511,0.10638298,0.30933852,85.24438017,98.374573,86.22573003,,-0.2586119771,,Angel Chivilli,26790,683409
22717,672582,Angel Zerpa,KCR,Angel Zerpa,KCR,L,24,60,53.2,0.2706422018,,1.453416528,0.3251533742,3.857143862,4.46,3.967722223,3.69761693,3.556088595,12,0,0.9825893641,1.214169979,-0.6980296462,8.217393446,3.186336234,0.20502092,0.07949791,0.12552301,0.16568047,0.55621302,0.4260355,0.07100592,0.26100629,111.0715668,96.41301788,107.611062,,0.2056123316,,Angel Zerpa,22717,672582
14706,607455,Anthony Banda,LAD,Anthony Banda,LAD,L,30,46,47.2,0.2277777778,,1.237762502,0.2890625,3.020979666,,3.502144186,3.870376153,3.682339984,8,2,1.023336887,1.183891296,0.5827039023,9.062938997,3.398602124,0.24,0.09,0.15,0.18939394,0.48484848,0.38636364,0.06060606,0.28609987,106.0497965,103.2935957,109.2673813,,0.5972860456,,Anthony Banda,14706,607455
19742,669622,Anthony Bender,MIA,Anthony Bender,MIA,R,29,59,53,0.2427184466,,1.283019145,0.3263888889,4.075472578,3.44,2.921196706,3.355014624,3.207498132,15,1,1.27210927,1.102576256,-0.612205474,10.01887009,3.056604434,0.25877193,0.07894737,0.17982456,0.16326531,0.55102041,0.40136054,0.04761905,0.30366492,117.489513,99.8455544,113.2601451,,0.8812949061,,Anthony Bender,19742,669622
26034,687424,Anthony Maldonado,MIA,Anthony Maldonado,MIA,R,26,15,16,0.28125,,1.562500093,0.3148148148,6.750000402,,4.166479838,5.527492003,5.428223828,0,1,1.205691934,0.6967733502,-0.2808094,5.062500302,3.937500235,0.12676056,0.09859155,0.02816901,0.2,0.41818182,0.25454545,0.03636364,0.26436782,92.018017,87.55943343,80.79807365,,0.07213705778,,Anthony Maldonado,26034,687424
26952,683627,Anthony Molina,COL,Anthony Molina,COL,R,22,34,58,0.2991452991,,1.53448286,0.3457446809,6.517241808,,3.907859137,4.299177914,4.388581001,2,0,0.3663204312,0.3799470663,0.1881609474,6.362069384,2.948276056,0.16141732,0.07480315,0.08661417,0.12435233,0.48704663,0.44041451,0.07772021,0.23406375,91.2998006,103.4163509,95.70299103,,0.2948198915,,Anthony Molina,26952,683627
27453,685107,Anthony Veneziano,- - -,Anthony Veneziano,- - -,L,26,12,13.1,0.2962962963,,1.42500034,0.3846153846,3.375000805,4.02,2.941479725,3.89429067,3.366272479,1,0,0.5189612739,0.7112999906,-0.4332183466,9.450002253,2.025000483,0.24137931,0.05172414,0.18965517,0.05,0.55,0.5,0.05,0.26446281,104.1387603,107.2280165,107.4120661,,0.1551753543,,Anthony Veneziano,27453,685107
10233,547973,Aroldis Chapman,PIT,Aroldis Chapman,PIT,L,36,68,61.2,0.1964285714,,1.345946085,0.3223140496,3.794594986,2.98,3.036750035,3.135091587,3.150984408,22,14,1.768199325,1.649376512,0.7411363672,14.30270418,5.691892479,0.36981132,0.14716981,0.22264151,0.13492063,0.55555556,0.41269841,0.07142857,0.31858407,105.2688021,112.5863709,116.6089441,,1.108228803,,Aroldis Chapman,10233,547973
13801,613534,Austin Adams,OAK,Austin Adams,OAK,R,33,56,41.1,0.2451612903,,1.475806906,0.3469387755,3.919356044,4.08,4.472931793,4.641520422,3.709793866,22,0,1.297245622,1.279289246,-0.3795328494,11.54032613,5.008066057,0.27748691,0.12041885,0.15706806,0.26470588,0.5,0.31372549,0.04901961,0.31180124,90.06306145,100.598324,95.37532961,,0.01493838243,,Austin Adams,13801,613534
15047,608723,Austin Voth,SEA,Austin Voth,SEA,R,32,68,61,0.2026431718,,1.049180459,0.2356687898,3.688525051,3.14,4.117299569,3.934358373,3.510109344,15,0,0.8277275562,1.000767589,-1.1648701,9.000001126,2.655738037,0.24596774,0.07258065,0.1733871,0.19879518,0.54819277,0.29518072,0.07831325,0.29405738,100.5211716,101.6484275,99.88637205,,0.01585360616,,Austin Voth,15047,608723
24937,681810,Austin Warren,SFG,Austin Warren,SFG,R,28,6,10.2,0.2432432432,,1.312500078,0.275862069,1.687500101,4.68,4.478979857,4.677737749,4.781416168,0,0,0.09325714409,0.1220333353,0.2952316491,5.906250352,4.218750251,0.16666667,0.11904762,0.04761905,0.13333333,0.53333333,0.26666667,0.06666667,0.25433526,106.433526,101.7568786,102.7578035,,-0.04969647899,,Austin Warren,24937,681810
27753,690544,Bailey Horn,BOS,Bailey Horn,BOS,L,26,18,18,0.2820512821,,1.777778343,0.2833333333,6.500002066,6.21,6.99981433,4.732709971,4.896433113,2,0,0.6604155302,1.011177778,-0.2635547664,6.500002066,5.000001589,0.14772727,0.11363636,0.03409091,0.18461538,0.50769231,0.4,0.10769231,0.28289474,105.6946358,97.01264901,101.1198675,,-0.47948879,,Bailey Horn,27753,690544
26079,689225,Beau Brieske,DET,Beau Brieske,DET,R,26,34,51,0.2096774194,,1.137255072,0.2671755725,3.176471063,,3.421381777,3.97307687,3.685116233,6,1,1.168308377,1.124476433,-0.1100465458,9.000001346,3.352941678,0.24637681,0.09178744,0.15458937,0.18518519,0.55555556,0.34074074,0.03703704,0.2640801,102.7292965,97.36997487,100.7983417,,0.4855353832,,Beau Brieske,26079,689225
23590,676962,Ben Brown,CHC,Ben Brown,CHC,R,24,7,16.1,0.2615384615,,1.34693888,0.3720930233,4.408163608,,2.309336854,2.994569632,2.807049692,1,0,0.7266973257,0.8455713987,0.7090626565,11.57142947,2.755102255,0.3,0.07142857,0.22857143,0.18181818,0.34090909,0.61363636,0.13636364,0.37394958,101.0925738,97.25232068,97.82447257,,0.4075145423,,Ben Brown,23590,676962
15100,621294,Ben Heller,PIT,Ben Heller,PIT,R,32,8,12,0.3518518519,,2.083333499,0.4736842105,11.25000089,5.53,4.749813237,5.304489055,3.830689132,0,0,0.3625126779,0.675424993,-1.51742141,11.25000089,4.500000358,0.22727273,0.09090909,0.13636364,0.1025641,0.48717949,0.46153846,0.07692308,0.29019608,106.5184861,78.98087649,87.66964143,,-0.07256907225,,Ben Heller,15100,621294
31461,690829,Ben Joyce,LAA,Ben Joyce,LAA,R,23,30,32.2,0.2136752137,,1.163265533,0.2790697674,2.204082062,,3.197092029,3.6785664,3.569203275,8,4,1.510102153,1.692433357,0.8934406863,8.265307731,3.58163335,0.22556391,0.09774436,0.12781955,0.20689655,0.50574713,0.37931034,0.04597701,0.29458918,128.05112,86.1772,112.2246,,0.6029282808,,Ben Joyce,31461,690829
12572,595014,Blake Treinen,LAD,Blake Treinen,LAD,R,36,50,46.2,0.1929824561,,0.9428571942,0.2545454545,1.928571534,2.41,2.995051198,3.060202164,2.672774801,16,1,1.481152296,1.52414,-0.1393052934,10.80000059,2.121428687,0.30434783,0.05978261,0.24456522,0.16521739,0.53913043,0.33913043,0.05217391,0.30529172,104.833551,108.9920544,110.7742585,,0.9828249216,,Blake Treinen,12572,595014
